Time, AccX1, AccY1, AccZ1, AccX2, AccY2, AccZ2, AngVelX1, AngVelY1, AngVelZ1, AngVelX2, AngVelY2, AngVelZ2, AngX1, AngY1, AngZ1, AngX2, AngY2, AngZ2
18:19:35.816, 0.02392578125,-0.13876953125000002,9.742578125000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18:19:35.929, -0.019140625,-0.08134765625000001,9.83349609375,0.00478515625,-0.07177734375,9.795214843750001,0.0,0.06103515625,-0.30517578125,-0.1220703125,-0.732421875,0.0,-0.3790283203125,0.1318359375,-58.1561279296875,-0.85693359375,-1.16455078125,-66.8902587890625
18:19:36.031, -0.0095703125,-0.028710937500000002,9.766503906250001,-0.0095703125,-0.08134765625000001,9.80478515625,0.0,0.0,0.244140625,-0.06103515625,-0.732421875,0.06103515625,-0.37353515625,0.1373291015625,-58.1890869140625,-0.85693359375,-1.16455078125,-66.873779296875
18:19:36.132, -0.02392578125,-0.028710937500000002,9.771289062500001,-0.03828125,-0.052636718750000006,9.76171875,0.0,-0.06103515625,0.0,-0.244140625,-0.42724609375,0.0,-0.3680419921875,0.1373291015625,-58.18359375,-0.867919921875,-1.16455078125,-66.86279296875
18:19:36.247, 0.019140625,-0.028710937500000002,9.780859375,-0.028710937500000002,-0.10527343750000001,9.80478515625,0.0,0.0,0.1220703125,-0.06103515625,-0.48828125,0.0,-0.37353515625,0.1373291015625,-58.18359375,-0.867919921875,-1.16455078125,-66.8572998046875
18:19:36.350, 0.03828125,-0.019140625,9.795214843750001,0.019140625,-0.07177734375,9.843066406250001,0.0,-0.06103515625,0.0,0.0,-0.732421875,0.06103515625,-0.37353515625,0.1318359375,-58.18359375,-0.8734130859375,-1.16455078125,-66.8572998046875
18:19:36.462, -0.00478515625,-0.014355468750000001,9.8095703125,-0.0095703125,-0.057421875000000004,9.8095703125,-0.06103515625,0.0,0.06103515625,-0.1220703125,-0.732421875,0.0,-0.37353515625,0.1318359375,-58.1890869140625,-0.8734130859375,-1.1590576171875,-66.851806640625
18:19:36.565, 0.0095703125,-0.014355468750000001,9.70908203125,-0.00478515625,-0.04306640625,9.962695312500001,0.0,-0.18310546875,-0.06103515625,-0.18310546875,-0.79345703125,0.1220703125,-0.37353515625,0.1263427734375,-58.1890869140625,-0.8734130859375,-1.16455078125,-66.851806640625
18:19:36.679, 0.028710937500000002,-0.052636718750000006,9.780859375,0.04306640625,-0.12919921875,9.75693359375,-0.06103515625,0.0,0.0,-0.30517578125,-0.6103515625,0.0,-0.3790283203125,0.120849609375,-58.2000732421875,-0.8734130859375,-1.16455078125,-66.851806640625
18:19:36.781, 0.014355468750000001,-0.057421875000000004,9.8,0.0095703125,-0.06699218750000001,9.82392578125,0.06103515625,-0.06103515625,0.1220703125,0.0,-0.42724609375,0.0,-0.3790283203125,0.1263427734375,-58.2000732421875,-0.87890625,-1.1700439453125,-66.8463134765625
18:19:36.895, -0.028710937500000002,-0.033496093750000004,9.76171875,-0.0478515625,-0.0765625,9.771289062500001,0.0,0.0,0.0,-0.06103515625,-0.67138671875,0.0,-0.3790283203125,0.1263427734375,-58.2000732421875,-0.87890625,-1.1700439453125,-66.851806640625
18:19:36.996, -0.00478515625,-0.028710937500000002,9.814355468750001,0.00478515625,-0.095703125,9.819140625000001,0.0,0.0,0.0,-0.1220703125,-0.67138671875,0.0,-0.3790283203125,0.1263427734375,-58.2000732421875,-0.8734130859375,-1.1700439453125,-66.851806640625
18:19:37.113, 0.00478515625,-0.028710937500000002,9.790429687500001,0.019140625,-0.06699218750000001,9.8,0.0,0.0,0.0,-0.06103515625,-0.48828125,0.0,-0.3790283203125,0.1263427734375,-58.2000732421875,-0.8734130859375,-1.1700439453125,-66.8463134765625
18:19:37.215, 0.0,-0.02392578125,9.819140625000001,-0.00478515625,-0.03828125,9.795214843750001,0.0,0.0,0.0,-0.1220703125,-0.54931640625,0.0,-0.37353515625,0.1318359375,-58.2000732421875,-0.867919921875,-1.16455078125,-66.8463134765625
18:19:37.330, -0.03828125,-0.03828125,9.771289062500001,-0.00478515625,-0.04306640625,9.78564453125,0.3662109375,-0.6103515625,-0.1220703125,0.30517578125,-1.708984375,0.1220703125,-0.3790283203125,0.1318359375,-58.2000732421875,-0.8624267578125,-1.16455078125,-66.851806640625
18:19:37.445, 0.0,-0.08134765625000001,9.8,0.0095703125,-0.11005859375,9.8095703125,0.06103515625,-0.06103515625,0.06103515625,-0.06103515625,-0.732421875,0.0,-0.37353515625,0.1263427734375,-58.1890869140625,-0.867919921875,-1.16455078125,-66.8463134765625
18:19:37.548, 0.00478515625,-0.014355468750000001,9.780859375,0.014355468750000001,-0.08134765625000001,9.80478515625,0.0,0.06103515625,0.0,0.0,-0.54931640625,0.06103515625,-0.37353515625,0.1318359375,-58.1890869140625,-0.867919921875,-1.16455078125,-66.8463134765625
18:19:37.662, 0.0095703125,-0.02392578125,9.80478515625,0.0,-0.052636718750000006,9.8287109375,0.0,0.0,0.18310546875,0.06103515625,-0.67138671875,0.0,-0.37353515625,0.1318359375,-58.1890869140625,-0.8624267578125,-1.16455078125,-66.8463134765625
18:19:37.776, 0.0,-0.06699218750000001,9.8287109375,0.014355468750000001,-0.09091796875000001,9.795214843750001,0.0,-0.06103515625,0.1220703125,0.0,-0.79345703125,0.0,-0.37353515625,0.1318359375,-58.18359375,-0.8624267578125,-1.16455078125,-66.8463134765625
